pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Employment,Accommodation and food services,-6.24442930354536,4.0989605172955255,1843,1.029,-0.062444293035453596,-0.06425517753348174
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Employment,Arts and recreation services,16.613658508883624,1.0503695878466264,1627,0.386,0.16613658508883625,0.06412872184429079
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Employment,Retail trade,4.360239997595897,4.158123390780681,1846,1.006,0.04360239997595897,0.043864014375814726
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Employment,Total,-6.97704857738654,5.980030633000392e-4,1872,15.747,-0.06977048577386541,-1.0986758394810585
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Median income,Accommodation and food services,-9.567356996490616,19.698815473373344,1844,11146,-0.09567356996490617,-1066.3776108288441
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Median income,Arts and recreation services,-8.028842570763532,344.09701009933207,1632,17284,-0.08028842570763532,-1387.7051499307688
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Median income,Retail trade,-10.53998627766022,0.12902631842724716,1849,21738.5,-0.1053998627766022,-2291.234916969167
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Median income,Total,-2.6719036365904523,1.7374687840891343,1870,38620,-0.026719036365904524,-1031.8891844512327
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Population,Population,-14.731807390734565,0.02877347216208709,1874,15204,-0.14731807390734564,-2239.823995687283
P1,All Australia (exc. Greater Sydney),117031330,Erskineville - Alexandria,Spillover,spillover,Rent,Rent (monthly avg),10.028237267229752,NA,NA,2037,0.10028237267229752,204.27519313347005
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Employment,Accommodation and food services,-7.636929339740971,2.9857981965805394,1843,1.445,-0.07636929339740971,-0.11035362895925703
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Employment,Arts and recreation services,8.519528238265567,2.1915575133941108,1627,0.4,0.08519528238265567,0.03407811295306227
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Employment,Retail trade,-3.6243130979248974,1.154156699988512,1846,1.09,-0.03624313097924897,-0.03950501276738138
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Employment,Total,-2.12546939052073,0.01478526092580694,1872,16.791,-0.0212546939052073,-0.3568875653623358
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Median income,Accommodation and food services,-10.708581391328964,0.311765264693536,1842,6388,-0.10708581391328964,-684.0641792780942
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Median income,Arts and recreation services,0.1434580932503072,169.64806096241358,1632,9712.5,0.001434580932503072,13.933367306936086
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Median income,Retail trade,-11.99607369282081,0.04481998432361377,1849,12912.5,-0.11996073692820809,-1548.993015585487
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Median income,Total,-5.524873167425459,1.883399428980575,1870,22502,-0.055248731674254585,-1243.2069601340768
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Population,Population,-4.871124750575504,0.00347628171339494,1874,18118,-0.04871124750575504,-882.5503823092698
P1,All Australia (exc. Greater Sydney),117031331,Glebe - Forest Lodge,Spillover,spillover,Rent,Rent (monthly avg),13.878167985740024,NA,NA,1653,0.13878167985740025,229.40611680428262
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Employment,Accommodation and food services,4.365812088921167,1.0630975313906337,1845,2.066,0.04365812088921167,0.09019767775711131
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Employment,Arts and recreation services,12.176410656530743,7.920670712954511,1627,0.604,0.12176410656530744,0.07354552036544569
P1,All Australia (exc. Greater Sydney),117031332,Newtown - Camperdown - Darlington,Spillover,spillover,Employment,Retail trade,0.20374110870492976,1.3921469089572382,1849,1.592,0.0020374110870492977,0.003243558450582482
