pool_id,pool_label,unit_role,industry,weighted_att,n_units,weight_type
P1,All Australia (exc. Greater Sydney),spillover,Accommodation and food services,-2.632683673703179,10,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),spillover,Accommodation and food services,-2.892804978472268,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Arts and recreation services,7.965773537946493,10,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),spillover,Arts and recreation services,7.813390487468826,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Population,-11.31291178986336,10,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),spillover,Population,-11.035470435015037,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Retail trade,-2.6379923388016575,10,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),spillover,Retail trade,-3.0758488977631107,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),spillover,Total,-6.701811752589955,10,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),spillover,Total,-6.764161652014041,10,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Accommodation and food services,-4.457832757593671,5,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),treated,Accommodation and food services,-6.151575330783905,5,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Arts and recreation services,12.93404445425795,3,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),treated,Arts and recreation services,11.527887550871723,3,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Population,-13.156330632535221,5,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),treated,Population,-12.528382039794144,5,Population (2011 ERP)
P1,All Australia (exc. Greater Sydney),treated,Retail trade,-0.3781838276489118,5,Employment (2011 total jobs)
P1,All Australia (exc. Greater Sydney),treated,Retail trade,-0.8961708600538268,5,Population (2011 ERP)
