pool_id,unit_role,payment_type,weighted_gap,n_units,weight_type
P1,spillover,Mortgage,0.6569440750150733,10,Employment (2011 total jobs)
P1,spillover,Mortgage,0.6349818718495807,10,Population (2011 ERP)
P1,spillover,Rent,11.92157180500687,10,Employment (2011 total jobs)
P1,spillover,Rent,11.915931156042008,10,Population (2011 ERP)
P1,spillover,NA,NA,10,Employment (2011 total jobs)
P1,spillover,NA,NA,10,Population (2011 ERP)
P1,treated,Mortgage,-1.3352779048579475,5,Employment (2011 total jobs)
P1,treated,Mortgage,-1.5383391848539736,5,Population (2011 ERP)
P1,treated,Rent,10.567562564509329,5,Employment (2011 total jobs)
P1,treated,Rent,9.976261406848764,5,Population (2011 ERP)
P1,treated,NA,NA,5,Employment (2011 total jobs)
P1,treated,NA,NA,5,Population (2011 ERP)
P2,spillover,Mortgage,0.8438642887394245,10,Employment (2011 total jobs)
P2,spillover,Mortgage,0.8217593895327271,10,Population (2011 ERP)
P2,spillover,Rent,12.823177941777809,10,Employment (2011 total jobs)
P2,spillover,Rent,12.817791506860901,10,Population (2011 ERP)
P2,spillover,NA,NA,10,Employment (2011 total jobs)
P2,spillover,NA,NA,10,Population (2011 ERP)
P2,treated,Mortgage,-1.15295633709462,5,Employment (2011 total jobs)
P2,treated,Mortgage,-1.3554529928767967,5,Population (2011 ERP)
P2,treated,Rent,11.503653053590302,5,Employment (2011 total jobs)
P2,treated,Rent,10.912455172274276,5,Population (2011 ERP)
P2,treated,NA,NA,5,Employment (2011 total jobs)
P2,treated,NA,NA,5,Population (2011 ERP)
P3,spillover,Mortgage,0.7682118224521827,10,Employment (2011 total jobs)
P3,spillover,Mortgage,0.7449680194735457,10,Population (2011 ERP)
P3,spillover,Rent,13.405694887696148,10,Employment (2011 total jobs)
P3,spillover,Rent,13.401118485861968,10,Population (2011 ERP)
P3,spillover,NA,NA,10,Employment (2011 total jobs)
P3,spillover,NA,NA,10,Population (2011 ERP)
P3,treated,Mortgage,-1.279753253169922,5,Employment (2011 total jobs)
P3,treated,Mortgage,-1.4776959222745774,5,Population (2011 ERP)
P3,treated,Rent,12.50904912028115,5,Employment (2011 total jobs)
P3,treated,Rent,11.822805375167233,5,Population (2011 ERP)
P3,treated,NA,NA,5,Employment (2011 total jobs)
P3,treated,NA,NA,5,Population (2011 ERP)
P4,NA,Mortgage,-1.1518812087512238,5,Employment (2011 total jobs)
P4,NA,Mortgage,-1.3551546663927407,5,Population (2011 ERP)
P4,NA,Rent,11.502446982704718,5,Employment (2011 total jobs)
P4,NA,Rent,10.910785137220278,5,Population (2011 ERP)
P4,NA,NA,NA,5,Employment (2011 total jobs)
P4,NA,NA,NA,5,Population (2011 ERP)
