year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,pre_mspe
2011,102.77859814924199,104.26239371553228,-1.483795566290297,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2012,102.83766489466431,101.35387229129078,1.48379260337353,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2013,100,99.99999999921492,7.850786687413347e-10,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2014,103.10592636345737,103.18320278108214,-0.07727641762477333,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2015,107.95432171687342,100.863366154692,7.090955562181421,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2016,141.0120102382359,111.16808538982474,29.84392484841115,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2017,127.96564284307935,113.93574001928161,14.029902823797741,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2018,120.96377239614098,118.5513411653878,2.412431230753185,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,2.2016448861843703
2011,93.67652564582552,93.81339655108962,-0.13687090526410373,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.018733937980952346
2012,96.45451141894422,96.317638370998,0.13687304794622435,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.018733937980952346
2013,100,99.99999999934417,6.558309451065725e-10,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.018733937980952346
2014,104.0509172594534,110.81546447776006,-6.76454721830666,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.018733937980952346
2015,107.64507675028078,123.72575692251202,-16.08068017223124,P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,0.018733937980952346
