year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2011,102.77859814924199,104.44537358778412,-1.6667754385421318,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2012,102.83766489466431,101.17088764342306,1.6667772512412569,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2013,100,99.99999999944522,5.54777557226771e-10,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2014,103.10592636345737,103.45999237289625,-0.3540660094388812,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2015,107.95432171687342,101.10794458005917,6.8463771368142545,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2016,141.0120102382359,111.64202494798714,29.36998529024875,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2017,127.96564284307935,114.75880011796565,13.206842725113702,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2018,120.96377239614098,119.68204108273136,1.2817313134096224,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Total,2.778143383891338
2011,93.74423325336778,94.25983048307941,-0.5155972297116307,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2012,95.60804576490129,95.09245148057529,0.5155942843259993,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2013,100,99.99999999942087,5.791349622086273e-10,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2014,104.19819154825613,105.51753711193133,-1.3193455636751992,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2015,107.46447684074553,108.29934652241778,-0.8348696816722452,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2016,139.0754751799225,113.80198856078917,25.273486619133337,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
2017,130.1439379959402,115.62930255183105,14.51463544410916,P4,Capital cities only (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,Accommodation and food services,0.26583898465797373
