pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,industry,att,pre_mspe,n_donors
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Total,8.883323008050633,2.2016448861843703,1871
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Population,-17.00280936205232,0.01873393798095234,1874
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Retail trade,5.037460797765962,7.997799129390566,1849
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Accommodation and food services,7.6120606280397025,0.1547902811715983,1844
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Arts and recreation services,22.0651653565616,1.4655343887813972,1630
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Total,-0.2971295263839077,5.955442758233647e-4,1870
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Retail trade,-9.785071164193411,1.4813730338181004,1847
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Accommodation and food services,3.2674819806250404,0.01998031000747047,1842
P1,All Australia (exc. Greater Sydney),117031337,Sydney - Haymarket - The Rocks,Full,treated,Income: Arts and recreation services,-16.252007444324388,0.286866188734506,1632
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Total,-4.223461497829983,0.4754227099668874,1874
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Population,-20.963459191175502,0.0492956844381866,1874
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Retail trade,-5.803047910292712,8.89811570112241,1846
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Accommodation and food services,-12.4475328826046,4.1736687212054235,1843
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Total,1.7837997900941929,6.898762061307778,1873
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Retail trade,5.982376738561818,13.4587536611845,1849
P1,All Australia (exc. Greater Sydney),117031329,Darlinghurst,Full,treated,Income: Accommodation and food services,-3.634435364474508,5.942950377401228,1844
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Total,-5.271189760416415,0.9748650758093726,1874
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,-11.5197242825882,0.19603857642742567,1874
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Retail trade,-7.678784781704077,4.16491122576106,1846
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Accommodation and food services,-13.088402529256289,0.22234218697281485,1845
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Arts and recreation services,-2.6023986903731875,22.21453589521783,1627
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Income: Total,10.001643589673842,0.9365648095230976,1873
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Income: Retail trade,6.111082378457233,11.076299935693132,1849
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Income: Accommodation and food services,-2.331060195885103,5.828294562137177,1841
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Income: Arts and recreation services,0.745749222634205,49.9869735032129,1632
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Total,1.4779812828813992,0.21425383453648705,1874
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Population,-0.4275892509681256,0.00202554879086198,1870
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Retail trade,-4.091458423724345,2.769537457660351,1849
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Accommodation and food services,-1.0986600867666614,0.36305318448597435,1844
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Income: Total,-10.093407129316796,5.291921881579688,1870
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Income: Retail trade,-9.191451813656895,11.63535135503755,1844
P1,All Australia (exc. Greater Sydney),117031336,Surry Hills,Partial,treated,Income: Accommodation and food services,-8.420806873731967,10.775117595374084,1845
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Total,-10.070712594888924,0.4618394058817872,1872
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Population,-13.467140514138617,0.06563104269369208,1874
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Retail trade,3.638328733762533,8.131335643223135,1849
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Accommodation and food services,-17.243255310623997,0.03521067016384886,1839
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Arts and recreation services,12.193431588972857,1.631582894908497,1631
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Income: Total,-29.122077484129957,20.735421563747487,1805
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Income: Retail trade,-15.390068070548224,58.06105563949691,1849
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Income: Accommodation and food services,-11.79757434274662,0.14635323956092494,1845
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Income: Arts and recreation services,-34.12546850249836,2.33184967102327,1632
