Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Total,+8.9 pp,2.20,—,,1871
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Population,-17.0 pp,0.02,—,,1874
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Retail trade,+5.0 pp,8.00,—,,1849
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Accommodation and food services,+7.6 pp,0.15,—,,1844
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Arts and recreation services,+22.1 pp,1.47,—,,1630
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Total,-0.3 pp,0.00,—,,1870
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Retail trade,-9.8 pp,1.48,—,,1847
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Accommodation and food services,+3.3 pp,0.02,—,,1842
treated,All Australia (exc. Greater Sydney),Sydney - Haymarket - The Rocks,Full,Income: Arts and recreation services,-16.3 pp,0.29,—,,1632
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Total,-4.2 pp,0.48,—,,1874
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Population,-21.0 pp,0.05,—,,1874
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Retail trade,-5.8 pp,8.90,—,,1846
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Accommodation and food services,-12.4 pp,4.17,—,,1843
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Income: Total,+1.8 pp,6.90,—,,1873
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Income: Retail trade,+6.0 pp,13.46,—,,1849
treated,All Australia (exc. Greater Sydney),Darlinghurst,Full,Income: Accommodation and food services,-3.6 pp,5.94,—,,1844
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Total,-5.3 pp,0.97,—,,1874
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Population,-11.5 pp,0.20,—,,1874
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Retail trade,-7.7 pp,4.16,—,,1846
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Accommodation and food services,-13.1 pp,0.22,—,,1845
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Arts and recreation services,-2.6 pp,22.21,—,,1627
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Total,+10.0 pp,0.94,—,,1873
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Retail trade,+6.1 pp,11.08,—,,1849
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Accommodation and food services,-2.3 pp,5.83,—,,1841
treated,All Australia (exc. Greater Sydney),Potts Point - Woolloomooloo,Full,Income: Arts and recreation services,+0.7 pp,49.99,—,,1632
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Total,+1.5 pp,0.21,—,,1874
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Population,-0.4 pp,0.00,—,,1870
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Retail trade,-4.1 pp,2.77,—,,1849
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Accommodation and food services,-1.1 pp,0.36,—,,1844
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Income: Total,-10.1 pp,5.29,—,,1870
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Income: Retail trade,-9.2 pp,11.64,—,,1844
treated,All Australia (exc. Greater Sydney),Surry Hills,Partial,Income: Accommodation and food services,-8.4 pp,10.78,—,,1845
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Total,-10.1 pp,0.46,—,,1872
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Population,-13.5 pp,0.07,—,,1874
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Retail trade,+3.6 pp,8.13,—,,1849
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Accommodation and food services,-17.2 pp,0.04,—,,1839
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Arts and recreation services,+12.2 pp,1.63,—,,1631
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Total,-29.1 pp,20.74,—,,1805
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Retail trade,-15.4 pp,58.06,—,,1849
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Accommodation and food services,-11.8 pp,0.15,—,,1845
treated,All Australia (exc. Greater Sydney),Pyrmont - Ultimo,Partial,Income: Arts and recreation services,-34.1 pp,2.33,—,,1632
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Total,-5.9 pp,1.15,—,,1872
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Accommodation and food services,+4.4 pp,1.06,—,,1845
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Arts and recreation services,+12.2 pp,7.92,—,,1627
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Retail trade,+0.2 pp,1.39,—,,1849
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Population,-8.0 pp,0.00,—,,1874
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Total,-4.8 pp,32.08,—,,1873
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Retail trade,-9.1 pp,2.89,—,,1849
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Accommodation and food services,-14.4 pp,15.57,—,,1844
spillover,All Australia (exc. Greater Sydney),Newtown - Camperdown - Darlington,Spillover,Income: Arts and recreation services,-6.9 pp,32.80,—,,1632
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Total,-2.1 pp,0.01,—,,1872
spillover,All Australia (exc. Greater Sydney),Glebe - Forest Lodge,Spillover,Accommodation and food services,-7.6 pp,2.99,—,,1843
