location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,14410.315807208568,-933.2290136340945,-6.476117707061348,13477.086793574474,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,28670.88469729324,-652.197519050449,-2.2747729131358883,28018.68717824279,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,28773.139568906103,0,0,28773.139568906103,5950.084930835179,0,0,5950.084930835179,P1
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,14410.315807208568,-883.6866257383607,-6.132319635190148,13526.629181470207,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,28670.88469729324,-532.3740531349753,-1.8568455726280242,28138.510644158265,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,28773.139568906103,0,0,28773.139568906103,5950.084930835179,0,0,5950.084930835179,P2
CBD,123159,-528.365567529901,-0.4290109269561307,122630.6344324701,95045,-10429.875076950506,-10.973617840970592,84615.1249230495,0.0203209358769656,-0.0022299418448468895,-10.973617840970585,0.01809099403211871,14410.315807208568,-43.51554452170851,-0.3019749539419563,14366.80026268686,9254.423231101058,1079.782951537149,11.667749837811128,10334.206182638207,P3
Inner_Ring,173270,-11204.836670639452,-6.46669167809745,162065.16332936054,188913,-20607.902852234994,-10.90867375576852,168305.09714776502,0.04039022525461836,-0.004406037902246342,-10.908673755768518,0.03598418735237202,28670.88469729324,445.1655664242167,1.5526746772004698,29116.050263717458,8556.93725683251,1131.7792328695264,13.226452396455608,9688.716489702038,P3
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4424275.777929186,0.9392888388684161,0.00663597974709329,0.7064897901999788,0.9459248186155094,28773.139568906103,0,0,28773.139568906103,5950.084930835179,0,0,5950.084930835179,P3
CBD,123159,0,0,123159,95045,0,0,95045,0.0203209358769656,0,0,0.0203209358769656,14410.315807208568,0,0,14410.315807208568,9254.423231101058,996.7031328067314,10.770018918706263,10251.12636390779,P4
Inner_Ring,173270,0,0,173270,188913,0,0,188913,0.04039022525461836,0,0,0.04039022525461836,28670.88469729324,0,0,28670.88469729324,8556.93725683251,0,0,8556.93725683251,P4
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4393238,0.9392888388684161,0,0,0.9392888388684161,28773.139568906103,0,0,28773.139568906103,5950.084930835179,0,0,5950.084930835179,P4
