location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id
Darlinghurst,10000,-46890.30482555239,-48731.1063070588,-1840.801481506409,-36850.59342212159,-39278.74228385111,-2428.1488617295254,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Erskineville - Alexandria,10000,-62012.51727326024,-61602.208818459025,410.30845480121206,-33839.5780467409,-35508.81481820725,-1669.2367714663487,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Glebe - Forest Lodge,10000,-46491.88955154284,-44700.002496399124,1791.887055143714,-32086.104365539966,-32661.030562903223,-574.9261973632565,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Newtown - Camperdown - Darlington,10000,-43657.11270267975,-43211.08322413109,446.0294785486549,-29520.113983745592,-30430.64025738328,-910.5262736376862,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Potts Point - Woolloomooloo,10000,-36134.17278046776,-38376.99810736816,-2242.8253269004053,-30975.097213717127,-32274.552410316544,-1299.4551965994178,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Pyrmont - Ultimo,10000,-39063.193763136434,-34811.878399341585,4251.315363794849,-30694.582107755366,-32216.59164108295,-1522.0095333275822,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Redfern - Chippendale,10000,-41213.259708809666,-42025.646286393225,-812.3865775835584,-31678.370136957186,-34861.219558570316,-3182.8494216131294,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Surry Hills,10000,-46393.623319770115,-43282.64688162538,3110.9764381447385,-32745.997649113902,-32864.398127886,-118.40047877209872,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Sydney - Haymarket - The Rocks,10000,-27033.749561492798,-27628.970061897577,-595.2205004047792,-28565.770017185067,-30504.95415814633,-1939.1841409612643,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Waterloo - Beaconsfield,10000,-48582.48036563517,-51259.18115978583,-2676.70079415066,-29184.614899227276,-34487.038431682835,-5302.423532455559,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Bondi Junction - Waverly,10000,-44936.737514632434,-42068.1550083643,2868.5825062681324,-32608.977119168638,-32979.02000235754,-370.0428831889003,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Paddington - Moore Park,10000,-55783.31793076158,-54286.95590282194,1496.3620279396418,-33536.40675158853,-33764.11436865485,-227.70761706632038,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Balmain,10000,-66766.67600009893,-66680.98635309181,85.6896470071224,-33400.781375901526,-33566.91020614988,-166.12883024835173,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Leichhardt - Annandale,10000,-54335.4635197859,-54517.603397058076,-182.13987727217318,-28359.474166173735,-28612.234036347945,-252.75987017420994,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Lilyfield - Rozelle,10000,-65205.82788132659,-65364.558250727496,-158.73036940090242,-34642.47188389234,-34811.49610034736,-169.02421645501454,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23373.827206559694,-75.54987596215506,109677332692.86287,109323971115.21217,-353361577.6506958,94411443228.5,93809427154.42532,-602016074.0746765,204088775921.36285,203133398269.6375,-955377651.7253418,P1
Darlinghurst,10000,-46890.30482555239,-48574.06751945972,-1683.7626939073307,-36850.59342212159,-39135.82843031557,-2285.2350081939803,267883497,262099306.45536774,-5784190.544632256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Erskineville - Alexandria,10000,-62012.51727326024,-61571.699313463774,440.8179597964627,-33839.5780467409,-35371.73811994153,-1532.1600732006336,608149140,553713285.1652726,-54435854.83472741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Glebe - Forest Lodge,10000,-46491.88955154284,-44599.11646147323,1892.7730900696042,-32086.104365539966,-32518.092938847138,-431.98857330717146,377831082,351469598.4620285,-26361483.537971497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Newtown - Camperdown - Darlington,10000,-43657.11270267975,-43089.01231542343,568.100387256316,-29520.113983745592,-30289.28007552275,-769.1660917771587,518917124,467192986.5543447,-51724137.44565529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Potts Point - Woolloomooloo,10000,-36134.17278046776,-38203.10531349182,-2068.932533024061,-30975.097213717127,-32136.0464776151,-1160.9492638979718,370878228,386948332.5120479,16070104.512047887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Pyrmont - Ultimo,10000,-39063.193763136434,-34644.33418172828,4418.859581408156,-30694.582107755366,-32077.078647510785,-1382.4965397554188,384576844.5,246251640.1945483,-138325204.3054517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Redfern - Chippendale,10000,-41213.259708809666,-41968.69070662738,-755.4309978177116,-31678.370136957186,-34831.047156635395,-3152.677019678209,335991166.5,292707727.8052876,-43283438.6947124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Surry Hills,10000,-46393.623319770115,-43458.21420544212,2935.4091143279948,-32745.997649113902,-33061.647310986176,-315.649661872274,434639725,397043653.1676717,-37596071.83232832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Sydney - Haymarket - The Rocks,10000,-27033.749561492798,-27439.16856805999,-405.4190065671937,-28565.770017185067,-30370.405643697184,-1804.6356265121176,316781790,344444132.94866526,27662342.94866526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Waterloo - Beaconsfield,10000,-48582.48036563517,-49844.945881538544,-1262.4655159033719,-29184.614899227276,-33028.4043839634,-3843.7894847361276,552057144,489728818.50911474,-62328325.49088526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Bondi Junction - Waverly,10000,-44936.737514632434,-42026.18694617238,2910.5505684600503,-32608.977119168638,-32943.26431820204,-334.28719903340243,343127744.00000006,297578847.1025686,-45548896.89743143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Paddington - Moore Park,10000,-55783.31793076158,-54356.13193883409,1427.1859919274866,-33536.40675158853,-33782.7082732113,-246.301521622765,455237649,417899993.41764957,-37337655.58235043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Balmain,10000,-66766.67600009893,-66806.42425699624,-39.74825689730642,-33400.781375901526,-33590.96125153504,-190.17987563351198,564773418,493674633.2537159,-71098784.74628413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Leichhardt - Annandale,10000,-54335.4635197859,-54557.03593221232,-221.57241242641612,-28359.474166173735,-28590.230748895327,-230.75658272159126,758954664,718906525.2143703,-40048138.78562975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Lilyfield - Rozelle,10000,-65205.82788132659,-65460.06610075492,-254.23821942832728,-34642.47188389234,-34834.86090135182,-192.38901745947805,452765060,444262688.9348458,-8502371.065154195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P2
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23381.604477507914,-67.77260501393539,109677332692.86287,109360346935.7821,-316985757.0807648,94411443228.5,93832801122.1975,-578642106.3025055,204088775921.36285,203193148057.9796,-895627863.3832397,P2
Darlinghurst,10000,-46890.30482555239,-48519.42105590319,-1629.1162303508027,-36850.59342212159,-38945.21486561697,-2094.62144349538,267883497,264716680.0521098,-3166816.9478901923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Erskineville - Alexandria,10000,-62012.51727326024,-64365.233655862074,-2352.716382601837,-33839.5780467409,-35182.44621871973,-1342.8681719788292,608149140,600621958.9008996,-7527181.099100351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Glebe - Forest Lodge,10000,-46491.88955154284,-46283.78442688295,208.10512465988722,-32086.104365539966,-32368.467364746568,-282.36299920660167,377831082,383891143.1573115,6060061.157311499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Newtown - Camperdown - Darlington,10000,-43657.11270267975,-43105.5465008146,551.5662018651492,-29520.113983745592,-30091.012975850077,-570.8989921044849,518917124,474589987.1424554,-44327136.8575446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Potts Point - Woolloomooloo,10000,-36134.17278046776,-38483.34215898091,-2349.16937851315,-30975.097213717127,-31932.802958457236,-957.7057447401094,370878228,396099892.3140593,25221664.314059317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Pyrmont - Ultimo,10000,-39063.193763136434,-37128.23318148107,1934.9605816553667,-30694.582107755366,-31875.38979676168,-1180.807689006313,384576844.5,301731569.45624936,-82845275.04375064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Redfern - Chippendale,10000,-41213.259708809666,-42121.07368956538,-907.8139807557163,-31678.370136957186,-34781.49804831827,-3103.127911361087,335991166.5,298215017.853234,-37776148.64676601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Surry Hills,10000,-46393.623319770115,-44172.52072259941,2221.102597170706,-32745.997649113902,-33265.095469164735,-519.0978200508325,434639725,404662439.60635304,-29977285.393646955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Sydney - Haymarket - The Rocks,10000,-27033.749561492798,-27481.170604491803,-447.4210429990053,-28565.770017185067,-30193.95207275483,-1628.1820555697632,316781790,360739196.2208289,43957406.22082889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Waterloo - Beaconsfield,10000,-48582.48036563517,-49396.21167540499,-813.7313097698207,-29184.614899227276,-32359.830961512445,-3175.2160622851698,552057144,495798217.5396844,-56258926.460315585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Bondi Junction - Waverly,10000,-44936.737514632434,-42609.64052126215,2327.0969933702872,-32608.977119168638,-33279.15349631527,-670.1763771466358,343127744.00000006,303450060.3766441,-39677683.623355985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Paddington - Moore Park,10000,-55783.31793076158,-56187.819242702535,-404.50131194095593,-33536.40675158853,-34349.44247287661,-813.0357212880772,455237649,435621331.47285205,-19616317.52714795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Balmain,10000,-66766.67600009893,-69064.00017333546,-2297.3241732365277,-33400.781375901526,-34194.21369488124,-793.4323189797142,564773418,515376885.44865406,-49396532.551345944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Leichhardt - Annandale,10000,-54335.4635197859,-55698.313157418044,-1362.8496376321418,-28359.474166173735,-29083.092766612528,-723.6186004387928,758954664,733448789.759838,-25505874.240162015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Lilyfield - Rozelle,10000,-65205.82788132659,-67027.46366967866,-1821.6357883520686,-34642.47188389234,-35432.03457095539,-789.562687063044,452765060,454317845.9148026,1552785.9148026109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P3
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23378.976498177857,-70.4005843439918,109677332692.86287,109348055361.37148,-329277331.49139404,94411443228.5,94092159967.71597,-319283260.7840271,204088775921.36285,203440215329.08746,-648560592.2753906,P3
Darlinghurst,10000,-46890.30482555239,-45854.541896918934,1035.7629286334559,-36850.59342212159,-36850.59342212159,0,267883497,267883497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Erskineville - Alexandria,10000,-62012.51727326024,-62012.51727326024,0,-33839.5780467409,-33839.5780467409,0,608149140,608149140,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Glebe - Forest Lodge,10000,-46491.88955154284,-46491.88955154284,0,-32086.104365539966,-32086.104365539966,0,377831082,377831082,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Newtown - Camperdown - Darlington,10000,-43657.11270267975,-43657.11270267975,0,-29520.113983745592,-29520.113983745592,0,518917124,518917124,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Potts Point - Woolloomooloo,10000,-36134.17278046776,-35475.50428178712,658.6684986806358,-30975.097213717127,-30975.097213717127,0,370878228,370878228,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Pyrmont - Ultimo,10000,-39063.193763136434,-38290.06953973802,773.1242233984158,-30694.582107755366,-30694.582107755366,0,384576844.5,384576844.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Redfern - Chippendale,10000,-41213.259708809666,-41213.259708809666,0,-31678.370136957186,-31678.370136957186,0,335991166.5,335991166.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Surry Hills,10000,-46393.623319770115,-45363.11811003339,1030.5052097367225,-32745.997649113902,-32745.99764911391,-7.275957614183426e-12,434639725,434639725,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Sydney - Haymarket - The Rocks,10000,-27033.749561492798,-25629.9901045738,1403.7594569189969,-28565.770017185067,-28565.77001718507,-3.637978807091713e-12,316781790,316781790,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Waterloo - Beaconsfield,10000,-48582.48036563517,-48582.48036563517,0,-29184.614899227276,-29184.614899227276,0,552057144,552057144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Bondi Junction - Waverly,10000,-44936.737514632434,-44936.737514632434,0,-32608.977119168638,-32608.977119168638,0,343127744.00000006,343127744.00000006,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Paddington - Moore Park,10000,-55783.31793076158,-55783.31793076158,0,-33536.40675158853,-33536.40675158853,0,455237649,455237649,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Balmain,10000,-66766.67600009893,-66766.67600009893,0,-33400.781375901526,-33400.781375901526,0,564773418,564773418,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Leichhardt - Annandale,10000,-54335.4635197859,-54335.4635197859,0,-28359.474166173735,-28359.474166173735,0,758954664,758954664,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Lilyfield - Rozelle,10000,-65205.82788132659,-65205.82788132659,0,-34642.47188389234,-34642.47188389234,0,452765060,452765060,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Rest_of_Sydney,10000,0,0,0,22823.054638070924,22823.054638070924,0,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P4
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,23449.37708252185,23449.37708252185,0,109677332692.86287,109677332692.86287,0,94411443228.5,94411443228.5,0,204088775921.36285,204088775921.36285,0,P4
