location,employment_pre,employment_te,employment_te_pct,employment_post,population_pre,population_te,population_te_pct,population_post,pop_share_pre,pop_share_te,pop_share_te_pct,pop_share_post,income_pre,income_te,income_te_pct,income_post,rent_pre,rent_te,rent_te_pct,rent_post,pool_id,displacement_pct
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,0
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,0
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,0
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-150.19482371716003,-0.7526520412278095,19805.21823437348,5950.084930835179,0,0,5950.084930835179,P1,0
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,50
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,50
Rest_of_Sydney,3046900,5765.85683319304,0.18923682540264006,3052665.856833193,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-112.71605746636487,-0.5648395106543072,19842.697000624274,5950.084930835179,0,0,5950.084930835179,P1,50
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,50
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,50
Rest_of_Sydney,3046900,5765.85683319304,0.18923682540264006,3052665.856833193,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-112.71605746636487,-0.5648395106543072,19842.697000624274,5950.084930835179,0,0,5950.084930835179,P1,50
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,50
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,50
Rest_of_Sydney,3046900,5765.85683319304,0.18923682540264006,3052665.856833193,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-112.71605746636487,-0.5648395106543072,19842.697000624274,5950.084930835179,0,0,5950.084930835179,P1,50
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,100
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,100
Rest_of_Sydney,3046900,11531.71366638608,0.3784736508052801,3058431.713666386,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-75.23729121557335,-0.377026980080823,19880.175766875065,5950.084930835179,0,0,5950.084930835179,P1,100
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,100
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,100
Rest_of_Sydney,3046900,11531.71366638608,0.3784736508052801,3058431.713666386,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-75.23729121557335,-0.377026980080823,19880.175766875065,5950.084930835179,0,0,5950.084930835179,P1,100
CBD,123159,99.33318288456417,0.08065442467425374,123258.33318288457,95045,-11948.217227156116,-12.571116026257155,83096.78277284389,0.0203209358769656,-0.0025545684267146603,-12.571116026257144,0.01776636745025094,18672.840070492926,1317.8647306552339,7.057655534348743,19990.70480114816,9254.423231101058,910.1962486540267,9.835256351742785,10164.619479755085,P1,100
Inner_Ring,173270,-11631.046849270644,-6.712672043210391,161638.95315072936,188913,-21368.33597357104,-11.311204614595637,167544.66402642895,0.04039022525461836,-0.004568621022845963,-11.311204614595633,0.0358216042317724,26296.783130329834,734.285214732623,2.7923005300436268,27031.068345062457,8556.93725683251,1004.6386266086604,11.740633318381297,9561.575883441172,P1,100
Rest_of_Sydney,3046900,11531.71366638608,0.3784736508052801,3058431.713666386,4393238,NA,NA,4426554.553200727,0.9392888388684161,0.007123189449560585,0.7583598521347346,0.9464120283179767,19955.41305809064,-75.23729121557335,-0.377026980080823,19880.175766875065,5950.084930835179,0,0,5950.084930835179,P1,100
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,0
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,0
Rest_of_Sydney,3046900,0,0,3046900,4393238,NA,NA,4423113.240162651,0.9392888388684161,0.006387425321207618,0.6800278100720012,0.9456762641896237,19955.41305809064,-134.78577763779685,-0.6754346665009265,19820.62728045284,5950.084930835179,0,0,5950.084930835179,P2,0
CBD,123159,-86.35077013303575,-0.07011324396352338,123072.64922986696,95045,-11422.496555053598,-12.017987853178601,83622.5034449464,0.0203209358769656,-0.002442167605345935,-12.017987853178587,0.017878768271619664,18672.840070492926,1235.1753551582951,6.614823189698582,19908.01542565122,9254.423231101058,996.8908696158632,10.772047535773407,10251.314100716922,P2,0
Inner_Ring,173270,-11606.316379063619,-6.698399249185444,161663.68362093638,188913,-18452.74360759747,-9.767852719292735,170460.25639240252,0.04039022525461836,-0.003945257715861697,-9.767852719292726,0.036444967538756666,26296.783130329834,389.64441950167384,1.4817189523545597,26686.427549831507,8556.93725683251,1081.9131313114456,12.64369597249955,9638.850388143956,P2,0
