location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct
Darlinghurst,10000,-59554.78131414761,-66747.27420380455,-7192.492889656947,-45668.319932937055,-48246.66361838374,-2578.3436854466854,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Erskineville - Alexandria,10000,-72209.52949836143,-75453.1205955946,-3243.5910972331767,-42657.304557556374,-44476.73615273987,-1819.4315951834942,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Glebe - Forest Lodge,10000,-53661.52278495462,-52679.52714227276,981.9956426818608,-40903.83087635544,-41628.95189743584,-725.1210210804056,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Newtown - Camperdown - Darlington,10000,-52171.73937576356,-52379.48513386112,-207.7457580975606,-38337.84049456106,-39398.5615919159,-1060.7210973548426,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Potts Point - Woolloomooloo,10000,-48200.58724505416,-52341.51856658125,-4140.931321527096,-39792.823724532594,-41242.473744849165,-1449.6500203165706,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Pyrmont - Ultimo,10000,-48906.269359098136,-45020.34356780546,3885.925791292677,-39512.30861857084,-41184.51297561557,-1672.204357044735,384576844.5,245129321.62661505,-139447522.87338495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Redfern - Chippendale,10000,-50799.17244789982,-55988.216637287114,-5189.044189387292,-40496.09664777265,-43829.14089310294,-3333.0442453302894,335991166.5,291950456.74528337,-44040709.754716635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Surry Hills,10000,-58170.18114949366,-55351.668289187706,2818.5128603059566,-41563.72415992937,-41832.31946241863,-268.59530248925876,434639725,396545272.040354,-38094452.95964599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney - Haymarket - The Rocks,10000,-40932.47382101765,-45486.41629471645,-4553.9424736988,-37383.496528000534,-39472.875492678955,-2089.3789646784207,316781790,343897672.92797166,27115882.92797166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Waterloo - Beaconsfield,10000,-53388.47164913098,-68500.63889500959,-15112.167245878605,-38002.34141004273,-43454.95976621547,-5452.618356172738,552057144,487992801.597982,-64064342.40201801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Bondi Junction - Waverly,10000,-52557.552365081516,-49863.414664042175,2694.1377010393408,-41426.7036299841,-41946.94133689016,-520.2377069060603,343127744.00000006,296241651.08927274,-46886092.91072732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Paddington - Moore Park,10000,-61851.8780939507,-58978.80078979676,2873.077304153936,-42354.13326240399,-42732.035703187474,-377.9024407834804,455237649,416121630.4471044,-39116018.552895606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Balmain,10000,-68563.04660004948,-63612.4617467485,4950.584853300978,-42218.50788671699,-42534.8315406825,-316.32365396551177,564773418,491289405.6620671,-73484012.33793288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Leichhardt - Annandale,10000,-57534.781817673604,-56194.17268383116,1340.6091338424449,-37177.200676989196,-37580.155370880566,-402.95469389136997,758954664,716175360.420418,-42779303.579581976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Lilyfield - Rozelle,10000,-66904.46323684308,-65613.18633757881,1291.2768992642668,-43460.198394707804,-43779.41743487999,-319.2190401721891,452765060,442806495.68954086,-9958564.310459137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Rest_of_Sydney,10000,0,0,0,14005.32812725546,13855.1333035383,-150.19482371716003,87668878952.5,87668878952.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.650571706381,14405.90587202707,-225.74469967931145,68435097527.3828,67379245321.02152,-1055852206.3612747,94411443228.5,93809427154.42532,-602016074.0746765,162846540755.8828,161188672475.44684,-1657868280.4359741,P1,0
Darlinghurst,5000,-29717.95728405135,-35696.375742843535,-5978.4184587921845,-15831.495902840794,-17195.76515742272,-1364.2692545819264,267883497,261146227.57263854,-6737269.427361459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Erskineville - Alexandria,5000,-43878.21315595551,-46287.185867455526,-2408.9727115000132,-14325.988215150457,-15310.801424600788,-984.8132094503308,608149140,550602831.8076663,-57546308.1923337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Glebe - Forest Lodge,5000,-26206.943283149172,-24937.484541785692,1269.45874136348,-13449.251374549985,-13886.909296948774,-437.6579223987883,377831082,349369395.0418492,-28461686.958150804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Newtown - Camperdown - Darlington,5000,-26000.155064855295,-25752.637686134014,247.5173787212807,-12166.256183652798,-12771.714144188802,-605.4579605360032,518917124,464812518.75282,-54104605.247179985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
Potts Point - Woolloomooloo,5000,-21301.511319160127,-24792.71504238752,-3491.203723227394,-12893.747798638566,-13693.670220655435,-799.922422016869,370878228,386467160.50374186,15588932.50374186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0
