location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct,,,,,,,,,
Darlinghurst,10000,-59554.78131,-66747.2742,-7192.49289,-45668.31993,-48246.66362,-2578.343685,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.12077104,,0.002405501,,,,
Erskineville - Alexandria,10000,-72209.5295,-75453.1206,-3243.591097,-42657.30456,-44476.73615,-1819.431595,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.044919156,,0.003250666,,,,
Glebe - Forest Lodge,10000,-53661.52278,-52679.52714,981.9956427,-40903.83088,-41628.9519,-725.1210211,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.018299809,,0.003873688,,,,
Newtown - Camperdown - Darlington,10000,-52171.73938,-52379.48513,-207.7457581,-38337.84049,-39398.56159,-1060.721097,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.00398196,,0.005006846,,,,
Potts Point - Woolloomooloo,10000,-48200.58725,-52341.51857,-4140.931322,-39792.82372,-41242.47374,-1449.65002,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.085910392,,0.004328876,,,,
Pyrmont - Ultimo,10000,-48906.26936,-45020.34357,3885.925791,-39512.30862,-41184.51298,-1672.204357,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.079456598,,0.004452026,,,,
Redfern - Chippendale,10000,-50799.17245,-55988.21664,-5189.044189,-40496.09665,-43829.14089,-3333.044245,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.102148203,,0.004034896,,,,
Surry Hills,10000,-58170.18115,-55351.66829,2818.51286,-41563.72416,-41832.31946,-268.5953025,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.048452881,,0.003626318,,,,
Sydney - Haymarket - The Rocks,10000,-40932.47382,-45486.41629,-4553.942474,-37383.49653,-39472.87549,-2089.378965,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.111255002,,0.005508215,,,,
Waterloo - Beaconsfield,10000,-53388.47165,-68500.6389,-15112.16725,-38002.34141,-43454.95977,-5452.618356,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.283060496,,0.005177675,,,,
Bondi Junction - Waverly,10000,-52557.55237,-49863.41466,2694.137701,-41426.70363,-41946.94134,-520.2377069,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.051260715,,0.003676348,,,,
Paddington - Moore Park,10000,-61851.87809,-58978.80079,2873.077304,-42354.13326,-42732.0357,-377.9024408,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.046450931,,0.003350726,,,,
Balmain,10000,-68563.0466,-63612.46175,4950.584853,-42218.50789,-42534.83154,-316.323654,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.072204855,,0.003396479,,,,
Leichhardt - Annandale,10000,-57534.78182,-56194.17268,1340.609134,-37177.20068,-37580.15537,-402.9546939,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.023300847,,0.005623027,,,,
Lilyfield - Rozelle,10000,-66904.46324,-65613.18634,1291.276899,-43460.19839,-43779.41743,-319.2190402,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.01930031,,0.002999874,,,,
Rest_of_Sydney,10000,0,0,0,14005.32813,13855.1333,-150.1948237,87668878953,87668878953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,#DIV/0!,,0.939288839,,,,
Sydney_Total,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14631.65057,14405.90587,-225.7446997,68435097527,67379245321,-1055852206,94411443229,93809427154,-602016074.1,1.62847E+11,1.61189E+11,-1657868280,P1,0,,-0.015428519,#VALUE!,,1,-236.6724897,,,
Darlinghurst,5000,-29717.95728,-35696.37574,-5978.418459,-15831.4959,-17195.76516,-1364.269255,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.201171918,,,,,,
Erskineville - Alexandria,5000,-43878.21316,-46287.18587,-2408.972712,-14325.98822,-15310.80142,-984.8132095,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.05490134,,,,,,
Glebe - Forest Lodge,5000,-26206.94328,-24937.48454,1269.458741,-13449.25137,-13886.9093,-437.6579224,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.048439787,,,,,,
Newtown - Camperdown - Darlington,5000,-26000.15506,-25752.63769,247.5173787,-12166.25618,-12771.71414,-605.4579605,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.009519842,,,,,,
Potts Point - Woolloomooloo,5000,-21301.51132,-24792.71504,-3491.203723,-12893.7478,-13693.67022,-799.922422,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.163894649,,,,,,
Pyrmont - Ultimo,5000,-22147.45099,-17500.52043,4646.930558,-12753.49025,-13664.68984,-911.1995904,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.20981785,,,,,,
Redfern - Chippendale,5000,-23548.46006,-27146.07954,-3597.619479,-13245.38426,-14987.00379,-1741.619535,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.152775148,,,,,,
Surry Hills,5000,-30385.65501,-27507.94191,2877.7131,-13779.19802,-13988.59308,-209.3950631,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.094706305,,,,,,
Sydney - Haymarket - The Rocks,5000,-15238.06149,-18822.4119,-3584.350403,-11689.0842,-12808.87109,-1119.786894,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.235223516,,,,,,
Waterloo - Beaconsfield,5000,-27384.63688,-39845.59236,-12460.95548,-11998.50664,-14799.91323,-2801.40659,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.455034534,,,,,,
Bondi Junction - Waverly,5000,-24841.53649,-21962.37734,2879.159143,-13710.68775,-14045.90402,-335.2162653,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.115901009,,,,,,
Paddington - Moore Park,5000,-33672.1474,-30685.21629,2986.931113,-14174.40257,-14438.4512,-264.0486323,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.088706285,,,,,,
Balmain,5000,-40451.12859,-35417.47932,5033.649268,-14106.58988,-14339.84912,-233.2592388,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.124437796,,,,,,
Leichhardt - Annandale,5000,-31943.51742,-30476.52835,1466.989069,-11585.93627,-11862.51103,-276.5747588,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.045924469,,,,,,
Lilyfield - Rozelle,5000,-38171.69998,-36795.91097,1375.789007,-14727.43513,-14962.14207,-234.7069319,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.03604212,,,,,,
Rest_of_Sydney,5000,0,0,0,14005.32813,13855.1333,-150.1948237,87668878953,87668878953,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,#DIV/0!,,,,,,
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48935,14130.51959,-187.9697617,66970381111,66091209694,-879171417.5,94411443229,93809427154,-602016074.1,1.61382E+11,1.59901E+11,-1481187492,P1,0,,,#VALUE!,,,,,,
Darlinghurst,15000,-89391.60534,-97798.17266,-8406.567321,-75505.14396,-79297.56208,-3792.418116,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.094042022,,,,,,
Erskineville - Alexandria,15000,-100540.8458,-104619.0553,-4078.209483,-70988.6209,-73642.67088,-2654.049981,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.040562713,,,,,,
Glebe - Forest Lodge,15000,-81116.10229,-80421.56974,694.532544,-68358.41038,-69370.9945,-1012.58412,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.008562203,,,,,,
Newtown - Camperdown - Darlington,15000,-78343.32369,-79006.33258,-663.0088949,-64509.42481,-66025.40904,-1515.984234,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.008462864,,,,,,
Potts Point - Woolloomooloo,15000,-75099.66317,-79890.32209,-4790.65892,-66691.89965,-68791.27727,-2099.377619,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.063790685,,,,,,
Pyrmont - Ultimo,15000,-75665.08773,-72540.16671,3124.921025,-66271.12699,-68704.33612,-2433.209124,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.041299378,,,,,,
Redfern - Chippendale,15000,-78049.88484,-84830.35374,-6780.4689,-67746.80904,-72671.27799,-4924.468956,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.086873529,,,,,,
Surry Hills,15000,-85954.70729,-83195.39467,2759.312621,-69348.2503,-69676.04585,-327.7955419,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.032101937,,,,,,
Sydney - Haymarket - The Rocks,15000,-66626.88615,-72150.42069,-5523.534544,-63077.90886,-66136.87989,-3058.971035,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.082902487,,,,,,
Waterloo - Beaconsfield,15000,-79392.30642,-97155.68543,-17763.37901,-64006.17618,-72110.0063,-8103.830122,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,0.223741818,,,,,,
Bondi Junction - Waverly,15000,-80273.56824,-77764.45198,2509.116259,-69142.71951,-69847.97866,-705.2591485,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.031257066,,,,,,
Paddington - Moore Park,15000,-90031.60879,-87272.38529,2759.223496,-70533.86396,-71025.62021,-491.7562493,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.030647275,,,,,,
Balmain,15000,-96674.96461,-91807.44417,4867.520438,-70330.42589,-70729.81396,-399.3880691,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,0,,,-0.050349338,,,,,,
