pool_id,zone,E0,N0,delta_E,delta_y,delta_R,delta_N,worker_welfare,amenity_per_resident,resident_amenity,total_welfare,landowner_value
P1,CBD,123159,95045,99.33318288456417,NA,NA,-11948.217227156116,NA,NA,NA,NA,NA
P1,Inner-Ring,173270,188913,-11631.046849270644,NA,NA,-21368.33597357104,NA,NA,NA,NA,NA
P1,Rest of Sydney,3046900,4393238,0,0,0,33316.553200727154,0,0,0,0,0
P1,Total,3343329,4677196,-11531.71366638608,NA,NA,-1.8189894035458565e-12,NA,NA,NA,NA,NA
P2,CBD,123159,95045,-86.35077013303575,NA,NA,-11422.496555053598,NA,NA,NA,NA,NA
P2,Inner-Ring,173270,188913,-11606.316379063619,NA,NA,-18452.74360759747,NA,NA,NA,NA,NA
P2,Rest of Sydney,3046900,4393238,0,0,0,29875.240162651065,0,0,0,0,0
P2,Total,3343329,4677196,-11692.667149196655,NA,NA,-1.8189894035458565e-12,NA,NA,NA,NA,NA
P3,CBD,123159,95045,-528.365567529901,NA,NA,-10429.875076950506,NA,NA,NA,NA,NA
P3,Inner-Ring,173270,188913,-11204.836670639452,NA,NA,-20607.902852234994,NA,NA,NA,NA,NA
P3,Rest of Sydney,3046900,4393238,0,0,0,31037.7779291855,0,0,0,0,0
P3,Total,3343329,4677196,-11733.202238169353,NA,NA,0,NA,NA,NA,NA,NA
P4,CBD,123159,95045,0,NA,NA,0,NA,NA,NA,NA,NA
P4,Inner-Ring,173270,188913,0,NA,NA,0,NA,NA,NA,NA,NA
P4,Rest of Sydney,3046900,4393238,0,0,0,0,0,0,0,0,0
P4,Total,3343329,4677196,0,NA,NA,0,NA,NA,NA,NA,NA
